Species;Type;Status;"Record areas (inside = rain garden; outside = adjacente area)";Number of rain gardens where occurs;Number of adjacent areas where occurs
Acmella uliginosa;ornamental;native;inside;1;0
Agapanthus africanus;ornamental;cultivated;inside;2;0
Agave attenuata;ornamental;cultivated;inside;2;0
Ageratum conyzoides;ruderal;native;inside;1;0
Aglaonema nitidum;ornamental;cultivated;outside;0;1
Alcantarea imperialis;ruderal;native;outside;0;1
Allamanda cathartica;ornamental;native;both;2;1
Alocasia cucullata;ornamental;cultivated;both;1;1
Aloe arborescens;ornamental;cultivated;inside;1;0
Alternanthera brasiliana;ornamental;native;outside;0;2
Alternanthera sessilis;ruderal;native;both;4;4
Amaranthus spinosus;ruderal;naturalized;both;2;1
Amaranthus tricolor;ornamental;cultivated;outside;0;1
Amaranthus viridis;ruderal;naturalized;outside;0;5
Anthephora hermaphrodita;ruderal;native;outside;0;1
Arachis repens;ornamental;native;both;5;14
Aristea ecklonii;ornamental;cultivated;inside;1;0
Asclepias curassavica;ornamental;native;outside;0;2
Asparagus aethiopicus;ornamental;cultivated;outside;0;1
Asplundia utilis;ornamental;cultivated;outside;0;1
Axonopus compressus;ruderal;native;outside;0;3
Axonopus fissifolius;ruderal;native;inside;1;0
Bidens pilosa;ruderal;naturalized;both;14;13
Brasiliopuntia brasiliensis;ornamental;native;outside;0;1
Bromus catharticus;ruderal;native;both;4;3
Bulbine frutescens;ornamental;cultivated;both;4;1
Buxus sempervirens;ornamental;cultivated;both;1;2
Calyptocarpus vialis;ruderal;cultivated;both;1;8
Canna x hybrida;ornamental;cultivated;both;2;4
Catharanthus roseus;ornamental;cultivated;outside;0;2
Cenchrus setaceus;ornamental;cultivated;inside;1;0
Centella asiatica;ornamental;invasive;inside;1;0
Chamaecrista nictitans;ornamental;native;inside;1;0
Chaptalia nutans;ruderal;native;outside;0;2
Chlorophytum comosum;ornamental;cultivated;both;10;6
Chrysalidocarpus lutescens;ornamental;cultivated;outside;0;1
Chrysanthemum indicum;ornamental;cultivated;outside;0;1
Cissus verticillata;ornamental;native;outside;0;1
Clusia fluminensis;ornamental;native;both;2;2
Codiaeum variegatum;ornamental;cultivated;outside;0;1
Coleus barbatus;ornamental;cultivated;both;1;3
Coleus comosus;ornamental;cultivated;both;1;4
Coleus decurrens;ornamental;cultivated;both;1;2
Coleus neochilus;ornamental;cultivated;inside;1;0
Coleus scutellarioides;ornamental;cultivated;outside;0;1
Commelina erecta;ruderal;native;both;6;14
Condylostylis candida;ornamental;native;outside;0;1
Cordyline fruticosa;ornamental;cultivated;both;3;2
Cosmos sulphureus;ruderal;naturalized;both;4;3
Costus spiralis;ornamental;native;outside;0;2
Ctenanthe setosa;ornamental;native;both;1;1
Cuphea ericoides;ruderal;native;both;1;1
Curculigo capitulata;ornamental;invasive;inside;2;0
Cuscuta racemosa;ruderal;native;inside;2;0
Cycas thouarsii;ornamental;cultivated;outside;0;1
Cyclospermum leptophyllum;ruderal;native;inside;2;0
Cymbopogon citratus;ornamental;naturalized;both;3;1
Cynodon dactylon;ruderal;invasive;both;14;13
Cyperus eragrostis;ruderal;native;outside;0;1
Cyperus odoratus;ruderal;native;inside;2;0
Cyperus rotundus;ruderal;native;inside;2;0
Cyperus sesquiflorus;ruderal;native;inside;1;0
Cyperus surinamensis;ruderal;native;outside;0;1
Desmodium incanum;ruderal;naturalized;both;1;2
Dianella tasmanica;ornamental;cultivated;inside;1;0
Dichondra parvifolia;ruderal;native;inside;2;0
Dieffenbachia seguine;ornamental;native;both;1;1
Dietes bicolor;ornamental;cultivated;both;2;1
Dietes grandiflora;ornamental;cultivated;outside;0;1
Dietes iridioides;ornamental;cultivated;both;3;5
Digitaria bicornis;ruderal;invasive;inside;2;0
Digitaria ciliaris;ruderal;naturalized;both;15;17
Digitaria insularis;ruderal;naturalized;both;2;2
Dracaena angolensis;ornamental;cultivated;inside;1;0
Dracaena braunii;ornamental;cultivated;outside;0;1
Dracaena trifasciata;ornamental;invasive;both;1;8
Drymaria cordata;ruderal;naturalized;outside;0;2
Duranta erecta;ornamental;naturalized;both;2;4
Echinochloa crus-galli;ruderal;naturalized;inside;1;0
Eclipta prostrata;ornamental;native;both;1;2
Elephantopus elatus;ruderal;cultivated;outside;0;2
Elephantopus mollis;ruderal;native;outside;0;1
Eleusine indica;ruderal;naturalized;both;7;12
Eleusine tristachya;ruderal;native;inside;1;0
Emilia fosbergii;ruderal;native;both;7;3
Emilia sonchifolia;ruderal;native;inside;1;0
Epipremnum pinnatum;ornamental;cultivated;outside;0;1
Eragrostis airoides;ruderal;native;both;1;1
Eragrostis pilosa;ruderal;naturalized;both;8;8
Eranthemum pulchellum;ornamental;cultivated;inside;1;0
Erigeron bonariensis;ruderal;native;both;3;1
Erigeron canadensis;ruderal;native;inside;4;0
Euphorbia heterophylla;ruderal;native;outside;0;1
Euphorbia hirta;ruderal;native;both;3;4
Euphorbia hyssopifolia;ruderal;native;both;6;1
Euphorbia milii;ornamental;cultivated;outside;0;7
Euphorbia peplus;ruderal;naturalized;inside;1;0
Euphorbia prostrata;ruderal;native;both;6;9
Euphorbia pulcherrima;ornamental;cultivated;outside;0;1
Evolvulus chamaepitys var. chamaepitys;ornamental;native;outside;0;1
Ficus pumila;ornamental;cultivated;outside;0;1
Furcraea selloa;ornamental;cultivated;outside;0;1
Furcraeae selloa var marginata;ornamental;cultivated;inside;1;0
Galinsoga parviflora;ruderal;naturalized;both;7;12
Gardenia jasminoides;ornamental;cultivated;outside;0;1
Gladiolus dalenii;ornamental;cultivated;inside;2;0
Hedychium coronarium;ornamental;invasive;inside;1;0
Heliconia rostrata;ornamental;native;inside;1;0
Hemerocallis fulva;ornamental;cultivated;inside;1;0
Heptapleurum arboricola;ornamental;invasive;outside;0;1
Hydrangea macrophylla;ornamental;cultivated;outside;0;1
Hydrocotyle bonariensis;ornamental;native;both;1;5
Hygrophila costata;ruderal;native;inside;1;0
Hypoxis decumbens;ruderal;native;both;2;9
Indigofera spicata;ornamental;native;inside;1;0
Ipomoea cairica;ruderal;native;outside;0;1
Ipomoea cordatotriloba;ornamental;naturalized;inside;1;0
Ipomoea obscura;ornamental;cultivated;outside;0;1
Iris domestica;ornamental;naturalized;both;1;1
Justicia gendarussa;ornamental;cultivated;both;1;1
Kalanchoe blossfeldiana;ornamental;cultivated;inside;1;0
Lepidium didymum;ruderal;naturalized;inside;5;0
Lepidium ruderale;ruderal;naturalized;both;3;1
Ludwigia octovalvis;ornamental;native;outside;0;1
Lysimachia arvensis;ornamental;native;inside;2;0
Macrothelypteris torresiana;ruderal;naturalized;inside;1;0
Maranta arundinacea;ornamental;cultivated;outside;0;1
Maranta leuconeura;ornamental;native;outside;0;1
Melinis repens;ruderal;naturalized;both;1;4
Mirabilis jalapa;ornamental;naturalized;both;1;8
Mitracarpus hirtus;ruderal;native;both;2;3
Monstera deliciosa;ornamental;cultivated;inside;1;0
Murraya paniculata;ornamental;invasive;outside;0;2
Nothoscordum gracile;ornamental;native;inside;2;0
Ophiopogon jaburan;ornamental;cultivated;inside;2;0
Ophiopogon japonicus;ornamental;cultivated;inside;1;0
Opuntia cochenillifera;ornamental;naturalized;outside;0;1
Opuntia monacantha;ornamental;native;inside;1;0
Oxalis triangularis;ruderal;native;outside;0;1
Parthenium hysterophorus;ruderal;naturalized;both;5;5
Paspalum conjugatum;ruderal;native;inside;1;0
Paspalum dilatatum;ruderal;native;outside;0;1
Paspalum fimbriatum;ruderal;native;outside;0;7
Paspalum notatum;ornamental;native;both;3;5
Paspalum paniculatum;ruderal;native;inside;2;0
Paspalum urvillei;ruderal;native;both;1;1
Pelargonium zonale;ornamental;cultivated;outside;0;1
Peperomia obtusifolia;ornamental;native;outside;0;1
Pereskia aculeata;ornamental;native;outside;0;1
Persicaria capitata;ruderal;naturalized;outside;0;1
Petiveria alliacea var. tetrandra;ornamental;naturalized;outside;0;2
Philodendron bipinnatifidum;ornamental;native;outside;0;2
Philodendron quinquenervium;ornamental;native;outside;0;1
Phormium tenax;ornamental;cultivated;both;2;1
Phyllanthus tenellus;ruderal;native;both;7;14
Phyllostachys aurea;ornamental;cultivated;outside;0;1
Pilea cadierei;ornamental;naturalized;outside;0;1
Plantago major;ruderal;naturalized;both;5;4
Plectranthus verticillatus;ornamental;cultivated;outside;0;2
Porophyllum ruderale;ruderal;native;outside;0;5
Portulaca grandiflora;ornamental;native;inside;1;0
Portulaca oleracea;ruderal;naturalized;both;2;2
Rhododendron alabamense;ornamental;cultivated;outside;0;1
Rhododendron simsii;ornamental;cultivated;outside;0;1
Richardia brasiliensis;ruderal;native;both;2;3
Richardia scabra;ruderal;native;inside;1;0
Rosa chinensis;ornamental;cultivated;outside;0;1
Rosa × centifolia;ornamental;cultivated;outside;0;1
Ruellia simplex;ornamental;native;both;2;1
Setaria parviflora;ruderal;native;both;10;2
Sida acuta;ruderal;native;outside;0;2
Sida rhombifolia;ruderal;native;both;2;4
Sigesbeckia orientalis;ruderal;naturalized;both;1;1
Solanum americanum;ruderal;native;outside;0;1
Solanum palinacanthum;ruderal;native;inside;1;0
Soliva sessilis;ruderal;native;outside;0;1
Sonchus oleraceus;ruderal;native;both;18;10
Sorghum halepense;ruderal;naturalized;inside;1;0
Sphagneticola trilobata;ornamental;native;both;4;3
Sporobolus indicus;ruderal;native;outside;0;2
Stenotaphrum secundatum;ornamental;native;both;1;6
Synedrella nodiflora;ruderal;native;both;2;1
Syngonium auritum;ornamental;cultivated;outside;0;1
Syngonium podophyllum;ornamental;cultivated;both;4;3
Talinum paniculatum;ruderal;native;both;2;11
Thunbergia alata;ornamental;invasive;outside;0;1
Tradescantia fluminensis;ornamental;native;inside;2;0
Tradescantia pallida;ornamental;cultivated;outside;0;4
Tradescantia zebrina;ornamental;invasive;outside;0;5
Tridax procumbens;ruderal;native;both;4;1
Trifolium dubium;ruderal;naturalized;inside;1;0
Trimezia candida;ornamental;native;both;1;1
Trimezia coerulea;ornamental;native;outside;0;3
Trimezia gracilis;ornamental;native;outside;0;2
Turnera ulmifolia;ornamental;cultivated;both;2;1
Urochloa brizantha;ruderal;invasive;both;3;10
Urochloa eminii;ruderal;naturalized;both;13;12
Urochloa platyphylla;ruderal;naturalized;outside;0;1
Verbena litoralis;ornamental;native;inside;1;0
Vernonanthura tweedieana;ornamental;native;outside;0;1
Xanthosoma sagittifolium;ornamental;native;inside;1;0
Xanthosoma taioba;ornamental;native;outside;0;1
Youngia japonica;ruderal;naturalized;both;2;2
