ID_RG_cont;bray_combined;group
1;1;exotic
2;1;exotic
3;1;exotic
4;1;exotic
5;0.863291916;exotic
6;0.90467437;exotic
7;0.985081374;exotic
8;0.723686839;exotic
9;1;exotic
10;0.877906563;exotic
11;1;exotic
12;0.783058568;exotic
13;0.975845411;exotic
14;0.837710503;exotic
15;1;exotic
16;1;exotic
17;0.964444444;exotic
18;0.817580211;exotic
19;0.701649702;exotic
20;0.936842105;exotic
21;0.908496732;exotic
22;0.87990559;exotic
23;1;exotic
24;0.934065934;exotic
25;1;exotic
26;0.886868687;exotic
27;1;exotic
28;0.788579565;exotic
29;0.992210321;exotic
30;0.999999929;exotic
1;0.922077922;native
2;1;native
3;1;native
4;0.952380952;native
5;0.966666667;native
6;0.981818182;native
7;1;native
8;0.909409497;native
9;0.984210526;native
10;0.961165049;native
11;0.9;native
12;1;native
13;1;native
14;1;native
15;1;native
16;0.936692506;native
17;1;native
18;1;native
19;1;native
20;1;native
21;0.982608696;native
22;0.944444444;native
23;0.742838875;native
24;0.833333333;native
25;1;native
26;0.976744186;native
27;0.9;native
28;1;native
29;0.96969697;native
30;0.75;native
1;0.936305732;community
2;1;community
3;1;community
4;0.987179487;community
5;0.93377419;community
6;0.931732169;community
7;0.991643454;community
8;0.78396622;community
9;0.993197279;community
10;0.911244399;community
11;0.975609756;community
12;0.905660377;community
13;0.991150442;community
14;0.912661094;community
15;1;community
16;0.954964881;community
17;0.989247312;community
18;0.726019317;community
19;0.820054945;community
20;0.97260274;community
21;0.972677596;community
22;0.899886485;community
23;0.886142228;community
24;0.835701485;community
25;1;community
26;0.950704225;community
27;0.969465649;community
28;0.889689651;community
29;0.978231293;community
30;0.95;community
