"ID_RG","exotic_ADJ","native_RG","exotic_RG","native_ADJ","riqueza_jardim","riqueza_adj","riqueza_invasive_ADJ","riqueza_invasive_RG","area_m2","IDHM_DIST","IDHM_R_DIST","BHM_m3","VHM_m3","VEG_PROP","LOW_COVER_ARB","MEDIUM_COVER_ARB","COVER_HERB_SHRUB","B_PROP","WATER_PROP","ROAD_DIST_m","ATL_FOREST_DIST_m","NEAR_ATL_FOREST_AREA_m2","PARK_DIST_m","APA_DIST_m","APA_AREA_m2","WT_DIST_m","WT_PER","WT_AREA_km2","manag_level_RG","garbage_RG","n_sample","manag_level_ADJ","garbage_ADJ","environ_type_ADJ","combined_simpson_inside","combined_simpson_outside","combined_shannon_inside","combined_shannon_outside","total_species_inside","total_species_outside","bray_abund","bray_cover","bray_combined","jaccard_exotic","jaccard_native","simpson_inside_native","simpson_outside_native","shannon_inside_native","shannon_outside_native","simpson_inside_exotic","simpson_outside_exotic","shannon_inside_exotic","shannon_outside_exotic"
"3",9,9,5,5,14,14,2,0,35,0.87472,0.91729,265120.5435,298260.5924,0.39593,0.11727,0.27791,0.00075,0.18,0,175.73989,18.21703,6852.9,17.55756,18474.75282,75734814,1749.24898,30.9140731,1.150418332,4,0,4,2,0,"sidewalk",0.785737898,0.737842411,2.030171107,1.62279799,14,14,1,0.872611464968153,0.936305732484076,1,0.923076923076923,0.669099602805897,0.340164145385913,1.45965044497552,0.604099703329417,0.716049382716049,0.716097688399319,1.42706104338072,1.36381733247339
"4",7,5,9,5,14,12,1,3,39,0.72334,0.73643,362365.1246,175631.1001,0.17542,0.04801,0.12094,0.00647,0.10966,0,8.69419,48.92635,3207.47,1314.50132,10763.1227,75734814,2385.71942,0.377511702,0.006524294,2,0,4,2,0,"sidewalk",0.712778124,0.706333552,1.720057749,1.696228036,14,12,1,1,1,1,1,0.464,0.403628117913832,0.871119980276179,0.866059870249309,0.63638806772373,0.62962962962963,1.41518912906715,1.288680674789
"7",9,1,2,9,3,18,1,1,63,0.8454,0.8673,273127.1302,193349.7329,0.3571,0.23483,0.02759,0.09468,0.17172,0.038610101,512.76872,373.97822,16863.05,102.2704,7624.03002,75734814,165.16535,69.35901644,26.88103084,3,0,5,3,0,"sidewalk",0.146957769,0.581545499,0.252637146,1.505571574,3,18,1,1,1,1,1,0,0.640775179236718,0,1.41821646414546,0.220436652869085,0.375624759707805,0.378955719065111,0.872073464724227
"8",13,2,5,6,7,19,0,1,45,0.8454,0.8673,471598.1917,61863.46674,0.09839,0.02518,0.0673,0.00591,0.03065,0,655.86126,144.9297,207696.52,99.42657,4227.946,88956926,909.96717,510.7610479,105.5986257,3,0,4,4,0,"sidewalk",0.507606445,0.839422938,0.890921272,2.388532772,7,19,0.974358974358974,1,0.987179487179487,1,0.666666666666667,0,0.510204081632653,0,1.01282341756968,0.491709342560554,0.828174783796086,0.8013310414131,2.17815687577993
"9",11,5,8,5,13,16,4,0,42,0.8454,0.8673,456408.1554,60491.91958,0.07797,0.02077,0.05089,0.00631,0.03467,0,276.93521,548.96066,202345.39,434.80899,2624.91618,88956926,804.20603,510.7610479,105.5986257,2,1,4,2,0,"square",0.637714338,0.839223778,1.403411647,2.08976694,13,16,0.911504424778761,0.956043956043956,0.933774190411359,0.733333333333333,0.888888888888889,0.234920634920635,0.746913580246914,0.487875619241382,1.46097074772182,0.586610258907556,0.759046319316831,1.13031700858846,1.62270370770803
"10",11,8,8,5,16,16,0,0,52,0.8454,0.8673,369552.8853,106481.2444,0.1027,0.00815,0.09174,0.00281,0.08345,0,472.45127,533.89057,2539.56,720.32093,6552.5281,75734814,801.82781,32.91826173,1.386026201,2,0,5,1,0,"square",0.83495362,0.766043398,2.144307083,1.780669663,16,16,0.930131004366812,0.933333333333333,0.931732168850073,0.8125,0.916666666666667,0.698051948051948,0.506887052341598,1.52246346653388,0.921493759033256,0.667403746097815,0.6221396275259,1.38992100720496,1.31232620385431
"12",11,2,5,12,7,23,2,1,450,0.8454,0.8673,300080.6052,70724.1404,0.26795,0.21283,0.05512,0,0.04251,0.164618017,16.03856,635.87261,168275.28,211.32676,8450.48302,75734814,68.87112,32.91826173,1.386026201,3,0,9,0,1,"street",0.552699168,0.842535789,1.025859767,2.133239942,7,24,0.983286908077994,1,0.991643454038997,0.857142857142857,1,0.336734693877551,0.734896199794619,0.519579839130515,1.5478325037287,0.507876496534341,0.731086750295377,0.84832314681349,1.52121911200762
"14",10,13,14,12,27,22,1,1,400,0.79052,0.8028,537237.8061,99400.3571,0.11139,0.04871,0.05596,0.00672,0.1475,0,10.22042,1017.25133,3738.25,1310.73953,13296.1425,14677137.46,3038.32937,30.9140731,1.150418332,3,0,9,2,0,"sidewalk",0.878870241,0.826474814,2.384929657,2.091641516,27,22,0.810650887573965,0.757281553398058,0.783966220486012,0.736842105263158,0.75,0.722269150493262,0.663387867543712,1.55277881894241,1.41608468619336,0.789599708093351,0.646675140707445,1.83477377297636,1.39079201534109
"21",10,5,8,9,13,18,1,2,100,0.76482,0.77509,546090.6133,113448.3579,0.11608,0.00754,0.10745,0.00109,0.11798,0,11.69579,359.45142,5377.75,2185.97963,15585.53252,14677137.46,1502.27355,30.9140731,1.150418332,2,1,5,4,0,"traffic_circle",0.728488704,0.772754019,1.460844715,1.896440404,13,18,1,0.986394557823129,0.993197278911565,1,0.923076923076923,0.415743944636678,0.678832491874462,0.676718867507056,1.27378560524137,0.621819003025055,0.725206611570248,1.12168275680269,1.71831023943528
"22",10,13,7,6,20,16,3,0,200,0.76482,0.77509,399223.4557,89696.76642,0.16878,0.09112,0.07766,0,0.09397,0,12.73997,0,11263.46,626.30063,14075.22753,14677137.46,3202.4528,0.753961399,0.02825516,2,1,6,1,0,"square",0.843456224,0.764803262,2.149268088,1.698477593,20,16,0.902702702702703,0.919786096256684,0.911244399479693,0.785714285714286,0.882352941176471,0.743561234172665,0.363017886759577,1.63815978138064,0.686881390370001,0.603550295857988,0.650134845620668,1.25987426533833,1.27347629854998
