ID_RG;date;environ_type;delimitation;ruderal;ornamental;recent_manag;manag_level;garbage;n_sample;plot_ID;plot;cover_percent;S;sp_cod;abund;cover_sp;species_name;powo_species_name;status_GRIIS;status_FLORABR;status_FLORASP;status_Michelle;final_status;status;Endemismo;threat_status_MMA_2022;threat_status_SP_2016;brazilian_common_name;type;biogeo_origin;cycle
21;25/mar;traffic_circle;1;1;1;1;4;0;5;21_3;3;18;6;sp4_213;1;;Aglaonema nitidum;Aglaonema nitidum;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;malésia;ornamental;exotic;
51;03/abr;sidewalk;1;0;1;1;3;0;4;51_1;1;65;5;sp1_511;1;;Alcantarea imperialis;Alcantarea imperialis;not_present;native;native_BR;0;native_BR;native;Endemic;VU;#N/D;bromélia;ruderal;native;
121;10/abr;sidewalk;1;1;1;1;4;0;5;121_1;1;30;4;sp1_1211;1;;Allamanda cathartica;Allamanda cathartica;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;alamanda amarela;ornamental;native;
8;20/mar;sidewalk;1;1;1;1;4;0;4;8_1;1;65;3;sp3_81;1;;Alocasia cucullata;Alocasia cucullata;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;orelha-de-elefante;ornamental;exotic;
8;20/mar;sidewalk;0;0;1;0;1;0;4;8_4;4;80;9;sp9_84;1;;Alocasia cucullata;Alocasia cucullata;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;orelha-de-elefante;ornamental;exotic;
9;20/mar;square;1;0;1;0;2;0;4;9_4;4;30;10;sp2_94;5;;Alternanthera brasiliana;Alternanthera brasiliana;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;penicilina;ornamental ;native;
58;27/mar;square;1;0;1;1;3;1;6;58_1;1;100;4;sp1_581;12;;Alternanthera brasiliana;Alternanthera brasiliana;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;penicilina;ornamental;native;
10;23/mar;square;1;0;0;0;1;0;5;10_2;2;100;9;sp5_102;9;;Alternanthera sessilis;Alternanthera sessilis;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;periquito-séssil;ruderal;native;
22;03/abr;square;1;0;0;0;1;0;6;22_4;4;100;6;sp4_224;14;;Alternanthera sessilis;Alternanthera sessilis;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;periquito-séssil;ruderal;native;
22;03/abr;square;1;0;0;0;1;0;6;22_6;6;90;6;sp4_226;4;;Alternanthera sessilis;Alternanthera sessilis;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;periquito-séssil;ruderal;native;
33;08/abr;planting_bed;1;0;0;0;1;0;5;33_5;5;40;6;sp1_335;2;;Alternanthera sessilis;Alternanthera sessilis;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;periquito-séssil;ruderal;native;
44;25/mar;square;1;0;0;0;1;0;5;44_2;2;100;6;sp4_442;6;;Alternanthera sessilis;Alternanthera sessilis;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;periquito-séssil;ruderal;native;
8;20/mar;sidewalk;0;0;0;0;0;0;4;8_2;2;55;8;sp1_82;8;;Amaranthus spinosus;Amaranthus spinosus;alien;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;bredo-bravo;ruderal;naturalized;
8;20/mar;sidewalk;1;0;1;1;3;0;4;8_3;3;25;5;sp2_83;2;;Amaranthus tricolor;Amaranthus tricolor;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;amaranto;ornamental;cultivated;
3;13/mar;sidewalk;1;0;1;0;2;0;4;3_1;1;100;6;sp4_31;1;;Amaranthus viridis;Amaranthus viridis;not_present;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;bredo;ruderal;naturalized;
24;06/abr;sidewalk;0;0;0;0;0;0;4;24_1;1;15;5;sp3_241;1;;Amaranthus viridis;Amaranthus viridis;not_present;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;bredo;ruderal;naturalized;
28;26/mar;sidewalk;1;0;0;0;1;1;6;28_2;2;35;5;sp2_282;10;;Amaranthus viridis;Amaranthus viridis;not_present;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;bredo;ruderal;naturalized;
34;07/abr;sidewalk;1;0;1;0;2;0;5;34_2;2;57;6;sp1_342;1;;Amaranthus viridis;Amaranthus viridis;not_present;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;bredo;ruderal;naturalized;
58;27/mar;sidewalk;1;0;1;1;3;1;6;58_6;6;50;8;sp5_586;6;;Amaranthus viridis;Amaranthus viridis;not_present;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;bredo;ruderal;naturalized;
44;25/mar;planting_bed;1;0;0;0;1;0;5;44_1;1;75;6;sp5_441;2;;Anthephora hermaphrodita;Anthephora hermaphrodita;not_present;native;native_BR;0;native_BR;native;not endemic;#N/D;#N/D;-;ruderal;native;
44;25/mar;square;1;0;0;0;1;0;5;44_2;2;100;6;sp2_442;3;;Anthephora hermaphrodita;Anthephora hermaphrodita;not_present;native;native_BR;0;native_BR;native;not endemic;#N/D;#N/D;-;ruderal;native;
3;13/mar;sidewalk;1;0;1;0;2;0;4;3_1;1;100;6;sp1_31;;100;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama amendoim;ornamental;native;perennial
12;28/mar;planting_bed;1;0;1;1;3;0;9;12_3;3;50;7;sp6_123;;5;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama-amendoim;ornamental;native;perennial
14;14/mar;sidewalk;1;0;1;0;2;0;9;14_1;1;95;4;sp1_141;;85;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama-amendoim;ornamental;native;perennial
14;14/mar;sidewalk;1;0;1;0;2;0;9;14_3;3;78;5;sp1_143;;60;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama-amendoim;ornamental;native;perennial
14;14/mar;sidewalk;1;0;1;0;2;0;9;14_9;9;100;3;sp1_149;;100;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama-amendoim;ornamental;native;perennial
21;25/mar;sidewalk;1;0;1;1;3;0;5;21_5;5;100;5;sp1_215;;90;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama-amendoim;ornamental;native;perennial
25;06/abr;sidewalk;1;1;1;1;4;0;4;25_2;2;100;2;sp1_252;;45;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama-amendoim;ornamental;native;perennial
26;04/abr;sidewalk;1;1;1;1;4;0;4;26_1;1;40;1;sp1_261;;40;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama-amendoim;ornamental;native;perennial
29;26/mar;sidewalk;1;0;1;1;3;0;5;29_4;4;95;4;sp2_294;;50;Arachis repens;Arachis repens;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;grama-amendoim;ornamental;native;perennial
