ID_RG;date;area_m2;LAT;LONG;design;delimitation;ruderal;ornamental;recent_manag;manag_level;garbage;n_sample;plot_ID;plot;cover_percent;S;sp_cod;abund;cover_sp;species_name;powo_species_name;status_GRIIS;status_FLORABR;status_FLORASP;status_Michelle;final_status;status;Endemismo;threat_status_MMA_2022;threat_status_SP_2016;brazilian_common_name;type;biogeo_origin;cycle
125;08/dez;35;-23,475,072;-4,659,541;HOMO;1;0;1;0;2;0;4;125_4;4;25;6;sp1_1254;1;;Allamanda cathartica;Allamanda cathartica;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;alamanda amarela;ornamental;native;
58;09/nov;100;-23,534,001;-46,651,994;HOMO;1;0;1;1;3;0;6;58_6;6;100;7;sp3_586;11;;Alternanthera sessilis;Alternanthera sessilis;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;periquito-séssil;ruderal;native;
34;07/dez;86;-23,521,263;-46,508,291;HOMO;1;0;1;0;2;1;5;34_4;4;100;4;sp1_344;3;;Amaranthus spinosus;Amaranthus spinosus;alien;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;bredo-bravo;ruderal;naturalized;
34;07/dez;86;-23,521,263;-46,508,291;HOMO;1;0;1;0;2;1;5;34_5;5;95;6;sp1_345;1;;Bidens pilosa;Bidens pilosa;alien;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;picão-preto;ruderal;native;
9;20/nov;42;-23,743,112;-46,688,108;HOMO;1;0;1;0;2;1;4;9_2;2;98;2;sp1_92;35;;Bromus catharticus;Bromus catharticus;not_present;native;native_BR;0;native_BR;native;not endemic;#N/D;#N/D;cevadilha;ruderal;native;perennial
33;22/nov;83;-23,530,671;-46,544,031;HOMO;1;0;1;0;2;1;5;33_3;3;65;9;sp7_333;1;;Bulbine frutescens;Bulbine frutescens;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;cebolinha-de-jardim;ornamental;cultivated;
33;22/nov;83;-23,530,671;-46,544,031;HOMO;1;0;1;0;2;1;5;33_4;4;60;9;sp4_334;4;;Bulbine frutescens;Bulbine frutescens;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;cebolinha-de-jardim;ornamental;cultivated;
35;22/nov;224;-23,518,456;-46,548,505;HET;1;0;1;0;2;1;5;35_5;5;55;4;sp2_355;1;;Bulbine frutescens;Bulbine frutescens;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;cebolinha-de-jardim;ornamental;cultivated;
34;07/dez;86;-23,521,263;-46,508,291;HOMO;1;0;1;0;2;1;5;34_1;1;100;6;sp1_341;2;;Bulbine frutescens;Bulbine frutescens;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;cebolinha-de-jardim;ornamental;cultivated;
34;07/dez;86;-23,521,263;-46,508,291;HOMO;1;0;1;0;2;1;5;34_2;2;100;11;sp5_342;2;;Bulbine frutescens;Bulbine frutescens;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;cebolinha-de-jardim;ornamental;cultivated;
37;07/dez;126;-23,529,855;-46,510,194;HOMO;1;0;1;1;3;0;5;37_3;3;48;7;sp1_373;2;;Bulbine frutescens;Bulbine frutescens;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;cebolinha-de-jardim;ornamental;cultivated;
37;07/dez;126;-23,529,855;-46,510,194;HOMO;1;0;1;1;3;0;5;37_5;5;50;7;sp1_375;3;;Bulbine frutescens;Bulbine frutescens;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;cebolinha-de-jardim;ornamental;cultivated;
12;01/dez;450;-23,665,497;-46,711,996;HET;1;0;1;1;3;0;9;12_2;2;30;4;sp2_122;7;;Centella asiatica;Centella asiatica;invasive;naturalized;naturalized;Non-native;invasive;exotic;not endemic;#N/D;#N/D;pé-de-cavalo;ornamental;native;
12;01/dez;450;-23,665,497;-46,711,996;HET;1;0;1;1;3;0;9;12_4;4;85;4;sp3_124;30;;Chlorophytum comosum;Chlorophytum comosum;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;clorofito;ornamental;cultivated;
14;30/nov;400;-2,350,413;-46,681,812;HET;1;0;1;1;3;0;9;14_6;6;80;7;sp1_146;1;;Clusia fluminensis;Clusia fluminensis;not_present;native;native;0;native;native;Endemic;#N/D;#N/D;clusia;ornamental;native;
125;08/dez;35;-23,475,072;-4,659,541;HOMO;1;0;1;0;2;0;4;125_2;2;15;5;sp4_1252;2;;Commelina erecta;Commelina erecta;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;erva-de-santa-luzia;ruderal;native;
124;08/dez;130;-23,476,585;-46,613,457;HOMO;1;0;1;0;2;1;5;124_2;2;95;6;sp6_1242;1;;Coronopus didymus;Lepidium didymum;not_present;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;mastruço-rasteiro;ruderal;naturalized;
4;01/dez;39;-23,642,324;-46,781,664;HOMO;1;0;1;0;2;0;4;4_4;4;45;8;sp1_43;1;;Curculigo capitulata;Curculigo capitulata;invasive;cultivated;cultivated;Non-native;invasive;exotic;not endemic;#N/D;#N/D;capim-palmeira;ornamental;cultivated;
35;22/nov;224;-23,518,456;-46,548,505;HET;1;0;1;0;2;1;5;35_2;2;55;7;sp7_352;;20;Cynodon dactylon;Cynodon dactylon;invasive;naturalized;naturalized;Non-native;invasive;exotic;not endemic;#N/D;#N/D;grama-paulista;ruderal;invasive;
124;08/dez;130;-23,476,585;-46,613,457;HOMO;1;0;1;0;2;1;5;124_2;2;95;6;sp1_1242;;23;Cynodon dactylon;Cynodon dactylon;invasive;naturalized;naturalized;Non-native;invasive;exotic;not endemic;#N/D;#N/D;grama-paulista;ruderal;invasive;
34;07/dez;86;-23,521,263;-46,508,291;HOMO;1;0;1;0;2;1;5;34_2;2;100;11;sp2_342;4;;Cyperus odoratus;Cyperus odoratus;not_present;native;native;0;native;native;not endemic;#N/D;#N/D;tiriricão;ruderal;native;
10;15/dez;52;-23,684,522;-46,708,485;HOMO;1;0;1;0;2;0;5;10_1;1;60;12;sp1_101;1;;Dianella tasmanica;Dianella tasmanica;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;dianela;ornamental;cultivated;
10;15/dez;52;-23,684,522;-46,708,485;HOMO;1;0;1;0;2;0;5;10_2;2;50;10;sp1_102;1;;Dianella tasmanica;Dianella tasmanica;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;dianela;ornamental;cultivated;
121;06/dez;112;-23,604,858;-46,558,842;HET;1;0;1;0;2;0;5;121_4;4;100;3;sp2_1214;2;;Dietes bicolor;Dietes bicolor;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;moréia-bicolor;ornamental;cultivated;
121;06/dez;112;-23,604,858;-46,558,842;HET;1;0;1;0;2;0;5;121_5;5;100;3;sp1_1215;11;;Dietes bicolor;Dietes bicolor;not_present;cultivated;cultivated;0;cultivated;exotic;not endemic;#N/D;#N/D;moréia-bicolor;ornamental;cultivated;
35;22/nov;224;-23,518,456;-46,548,505;HET;1;0;1;0;2;1;5;35_3;3;50;7;sp2_353;1;;Digitaria ciliaris;Digitaria ciliaris;alien;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;capim-colchão;ruderal;naturalized;annual
35;22/nov;224;-23,518,456;-46,548,505;HET;1;0;1;0;2;1;5;35_4;4;55;5;sp2_354;4;;Digitaria ciliaris;Digitaria ciliaris;alien;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;capim-colchão;ruderal;naturalized;annual
22;29/nov;200;-23,489,151;-46,688,345;HET;1;0;1;0;2;1;6;22_5;5;95;8;sp8_225;2;;Digitaria ciliaris;Digitaria ciliaris;alien;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;capim-colchão;ruderal;naturalized;annual
22;29/nov;200;-23,489,151;-46,688,345;HET;1;0;1;0;2;1;6;22_6;6;60;6;sp6_226;5;;Digitaria ciliaris;Digitaria ciliaris;alien;naturalized;naturalized;0;naturalized;exotic;not endemic;#N/D;#N/D;capim-colchão;ruderal;naturalized;annual
