sampled_area;general_richness_RG;general_simpson_RG;richness_native_RG;simpson_native_RG;richness_exotic_RG;simpson_exotic_RG;general_richness_ADJ;general_simpson_ADJ;richness_native_ADJ;simpson_native_ADJ;richness_exotic_ADJ;simpson_exotic_ADJ;bray_curtis_community;bray_curtis_native;bray_curtis_exotic
1;14;0.79;9;0.67;5;0.72;14;0.74;5;0.34;9;0.72;0.936305732;0.922077922;1
2;14;0.71;5;0.46;9;0.64;12;0.71;5;0.40;7;0.63;1;1;1
3;3;0.15;1;0;2;0.22;18;0.58;9;0.64;9;0.38;1;1;1
4;7;0.51;2;0;5;0.49;19;0.84;6;0.51;13;0.83;0.987179487;0.952380952;1
5;13;0.64;5;0.23;8;0.59;16;0.84;5;0.75;11;0.76;0.93377419;0.966666667;0.863291916
6;16;0.83;8;0.70;8;0.67;16;0.77;5;0.51;11;0.62;0.931732169;0.981818182;0.90467437
7;7;0.55;2;0.34;5;0.51;23;0.84;12;0.73;11;0.73;0.991643454;1;0.985081374
8;27;0.88;13;0.72;14;0.79;22;0.83;12;0.66;10;0.65;0.78396622;0.909409497;0.723686839
9;13;0.73;5;0.42;8;0.62;18;0.77;9;0.68;10;0.73;0.993197279;0.984210526;1
10;20;0.84;13;0.74;7;0.60;16;0.76;6;0.36;10;0.65;0.911244399;0.961165049;0.877906563
11;10;0.57;5;0.52;5;0.41;13;0.74;8;0.64;5;0.58;0.975609756;0.9;1
12;4;0.27;2;0.07;2;0;17;0.81;10;0.73;7;0.58;0.905660377;1;0.783058568
13;16;0.72;8;0.79;8;0.42;8;0.62;3;0.28;5;0.52;0.991150442;1;0.975845411
14;17;0.78;6;0.60;11;0.65;18;0.73;7;0.40;11;0.70;0.912661094;1;0.837710503
15;6;0.65;1;0;5;0.61;20;0.86;8;0.69;12;0.77;1;1;1
16;6;0.60;4;0.33;2;0.50;24;0.70;15;0.60;9;0.61;0.954964881;0.936692506;1
17;10;0.74;4;0.55;6;0.60;11;0.61;7;0.46;4;0.24;0.989247312;1;0.964444444
18;16;0.85;5;0.76;11;0.77;15;0.80;4;0.55;11;0.75;0.726019317;1;0.817580211
19;20;0.85;7;0.80;13;0.78;20;0.75;8;0.62;12;0.64;0.820054945;1;0.701649702
20;12;0.71;4;0.38;8;0.49;15;0.77;7;0.65;8;0.63;0.97260274;1;0.936842105
21;15;0.70;8;0.45;7;0.74;15;0.77;2;0.49;13;0.74;0.972677596;0.982608696;0.908496732
22;13;0.71;5;0.76;8;0.62;14;0.79;7;0.69;7;0.66;0.899886485;0.944444444;0.87990559
23;7;0.56;3;0.09;4;0.37;8;0.62;5;0.55;3;0.50;0.886142228;0.742838875;1
24;14;0.70;7;0.59;7;0.58;15;0.81;9;0.67;6;0.56;0.835701485;0.833333333;0.934065934
25;5;0.55;0;0;5;0.55;11;0.75;2;0.38;9;0.69;1;1;1
26;13;0.71;6;0.60;7;0.60;19;0.85;8;0.65;11;0.79;0.950704225;0.976744186;0.886868687
27;11;0.75;6;0.70;5;0.46;10;0.62;5;0.34;5;0.36;0.969465649;0.9;1
28;4;0.18;1;0;3;0.20;11;0.72;3;0.67;8;0.64;0.889689651;1;0.788579565
29;14;0.72;7;0.53;7;0.39;11;0.71;4;0.44;7;0.49;0.978231293;0.96969697;0.992210321
30;5;0.58;4;0.72;1;0;8;0.48;2;0.50;6;0.40;0.95;0.75;0.999999929
